"uncertainty","timepoint","stock","stock_type"
0.444445169334811,1,"PSX","health care"
0.439294794915365,1,"PFE","industrials"
0.389453493427017,1,"JNJ","information tech"
0.162269403758838,1,"DE","financials"
0.57814555589145,1,"DAL","energy"
0.457518646871792,1,"EFX","consumer discretionary"
0.28750926244864,1,"ACN","consumer staples"
0.0992009858717609,1,"NVDA","communication services"
0.295465849267508,1,"MSFT","utilities"
0.449114729928782,1,"NDAQ","real estate"
0.337321661236526,1,"MS","materials"
0.284556951461153,1,"PNC","health care"
0.606955054909655,1,"WMB","industrials"
0.465546915244232,1,"HAL","information tech"
0.625553962827798,1,"XOM","financials"
0.206433834741564,1,"MCD","energy"
0.551441820123924,1,"NKE","consumer discretionary"
0.585577319133067,1,"SBUX","consumer staples"
0.358389689160013,1,"WMT","communication services"
0.482680332170376,1,"PEP","utilities"
0.323538259679647,1,"SYY","real estate"
0.511505024829578,1,"VZ","materials"
0.227287082167881,1,"NFLX","health care"
0.591656000293119,1,"DIS","industrials"
0.340133308516423,1,"PNW","information tech"
0.337926442770266,1,"XEL","financials"
0.413287426680362,1,"PEG","energy"
0.457531831652988,1,"PSA","consumer discretionary"
0.271123678521372,1,"PLD","consumer staples"
0.469709982299009,1,"REG","communication services"
0.634225523350365,1,"PPG","utilities"
0.436863356097628,1,"VMC","real estate"
0.479545344364524,1,"IP","materials"
0.449792847546478,2,"PSX","health care"
0.437984750353922,2,"PFE","industrials"
0.392313469637167,2,"JNJ","information tech"
0.161913053819962,2,"DE","financials"
0.57511028365284,2,"DAL","energy"
0.455241868102036,2,"EFX","consumer discretionary"
0.290206211628487,2,"ACN","consumer staples"
0.0995402714952121,2,"NVDA","communication services"
0.29754117682832,2,"MSFT","utilities"
0.446732220760126,2,"NDAQ","real estate"
0.337406039812596,2,"MS","materials"
0.283660074153292,2,"PNC","health care"
0.609749317205082,2,"WMB","industrials"
0.465296126945182,2,"HAL","information tech"
0.625373574818286,2,"XOM","financials"
0.206232658759703,2,"MCD","energy"
0.552728249522528,2,"NKE","consumer discretionary"
0.583421016666336,2,"SBUX","consumer staples"
0.355915007037688,2,"WMT","communication services"
0.481190817983979,2,"PEP","utilities"
0.325160929454455,2,"SYY","real estate"
0.509778204173331,2,"VZ","materials"
0.226334984762944,2,"NFLX","health care"
0.593395233233392,2,"DIS","industrials"
0.339739547759546,2,"PNW","information tech"
0.338983340754541,2,"XEL","financials"
0.416321481571246,2,"PEG","energy"
0.444877526677929,2,"PSA","consumer discretionary"
0.272503518020201,2,"PLD","consumer staples"
0.467685865321847,2,"REG","communication services"
0.641487641727263,2,"PPG","utilities"
0.435071035577726,2,"VMC","real estate"
0.479565833419236,2,"IP","materials"
0.447602396329131,3,"PSX","health care"
0.442243722437151,3,"PFE","industrials"
0.391185888516001,3,"JNJ","information tech"
0.162035407837809,3,"DE","financials"
0.571840956775186,3,"DAL","energy"
0.460254802162627,3,"EFX","consumer discretionary"
0.285942529540087,3,"ACN","consumer staples"
0.100080253024694,3,"NVDA","communication services"
0.293367761995912,3,"MSFT","utilities"
0.44384174064208,3,"NDAQ","real estate"
0.33614690302502,3,"MS","materials"
0.285964022720278,3,"PNC","health care"
0.611430867644511,3,"WMB","industrials"
0.464309419381492,3,"HAL","information tech"
0.624802135144888,3,"XOM","financials"
0.206901879013184,3,"MCD","energy"
0.544365209620033,3,"NKE","consumer discretionary"
0.582611627121385,3,"SBUX","consumer staples"
0.355297434128599,3,"WMT","communication services"
0.476198164012308,3,"PEP","utilities"
0.319256474499967,3,"SYY","real estate"
0.516472530837872,3,"VZ","materials"
0.225339820451633,3,"NFLX","health care"
0.599245158094033,3,"DIS","industrials"
0.340872094556705,3,"PNW","information tech"
0.338181128184515,3,"XEL","financials"
0.41503111107144,3,"PEG","energy"
0.447106716677676,3,"PSA","consumer discretionary"
