"X1","X2","value"
1,1,0.077
2,1,0.077
3,1,0.085
4,1,0.077
5,1,0
6,1,0
7,1,0
8,1,0.009
1,2,0.075
2,2,0.074
3,2,0.079
4,2,0.105
5,2,0.094
6,2,0.009
7,2,0
8,2,0.002
1,3,0.05
2,3,0.016
3,3,0.017
4,3,0.035
5,3,0.009
6,3,0.001
7,3,0
8,3,0
1,4,0.014
2,4,0
3,4,0
4,4,0.002
5,4,0
6,4,0
7,4,0
8,4,0
1,5,0.039
2,5,0.002
3,5,0
4,5,0.009
5,5,0
6,5,0
7,5,0
8,5,0
1,6,0.009
2,6,0
3,6,0
4,6,0.004
5,6,0
6,6,0
7,6,0.001
8,6,0
1,7,0
2,7,0.001
3,7,0
4,7,0
5,7,0
6,7,0
7,7,0
8,7,0
1,8,0.009
2,8,0
3,8,0.003
4,8,0.015
5,8,0.001
6,8,0
7,8,0
8,8,0.002
