"X1","X2","value"
1,1,81.9130682836509
2,1,68.6732709308657
3,1,81.9130682836514
4,1,85.0621001673465
5,1,85.0849618711709
6,1,84.9665151532404
7,1,68.6732709308675
8,1,0.169915084915073
1,2,68.6732709308657
2,2,0.169915084915063
3,2,68.6732708869237
4,2,84.9665089783226
5,2,85.0849299185422
6,2,85.0620939917856
7,2,81.9130682390672
8,2,68.673270930856
1,3,81.9130682835795
2,3,68.6732708866022
3,3,81.9129029749431
4,3,85.0392003021994
5,3,84.966508653393
6,3,85.0619347874759
7,3,85.0619348414885
8,3,84.9665151087799
1,4,85.0620930319895
2,4,84.9664770261472
3,4,85.039170729578
4,4,81.9129029394991
5,4,68.6732347944551
6,4,81.9130607320809
7,4,85.0620939377784
8,4,85.0849618714781
1,5,85.0585340235181
2,5,84.9664513111494
3,5,84.848353838303
4,5,68.6487982951391
5,5,0.169915084713557
6,5,68.6732348543287
7,5,84.9665148728863
8,5,85.0849680467035
1,6,81.4199656930716
2,6,68.6732612996994
3,6,68.6520439573789
4,6,78.2585026013317
5,6,68.6473486022247
6,6,81.9130682822149
7,6,85.0621001173952
8,6,85.0849938243769
1,7,66.12193421176
2,7,0.169894791626887
3,7,0.169894791422502
4,7,66.1010213251845
5,7,84.8221952696519
6,7,85.0620635635781
7,7,85.0848346741465
8,7,85.0849999554149
1,8,81.4199657095934
2,8,68.6732670002247
3,8,68.6732374738879
4,8,81.4199665832338
5,8,85.0570000067347
6,8,85.0849862152895
7,8,85.0849999553436
8,8,85.084999999988
