"error","timepoint","model","stock","stock_type"
0.0128292570841631,1,"Linear","PSX","health care"
0.00439742275250795,1,"GP","PSX","health care"
0.0115350060426565,2,"Linear","PSX","health care"
0.00248502766351306,2,"GP","PSX","health care"
0.016566767185108,3,"Linear","PSX","health care"
0.00385501086618086,3,"GP","PSX","health care"
0.0208263043261269,4,"Linear","PSX","health care"
0.0086785355035278,4,"GP","PSX","health care"
0.0242067907926992,5,"Linear","PSX","health care"
0.0076193565769331,5,"GP","PSX","health care"
0.0223075032376661,6,"Linear","PSX","health care"
0.00461642639735515,6,"GP","PSX","health care"
0.0200509660004021,7,"Linear","PSX","health care"
0.00403298634760643,7,"GP","PSX","health care"
0.0167986171967538,8,"Linear","PSX","health care"
0.00107421985197447,8,"GP","PSX","health care"
0.0165687925747019,9,"Linear","PSX","health care"
0.000947228467887903,9,"GP","PSX","health care"
0.016143642681513,10,"Linear","PSX","health care"
0.000722072351268009,10,"GP","PSX","health care"
0.0156284675039594,11,"Linear","PSX","health care"
8.00537411166671e-05,11,"GP","PSX","health care"
0.0241993253609578,12,"Linear","PSX","health care"
0.00412427350329855,12,"GP","PSX","health care"
0.0231773040386307,13,"Linear","PSX","health care"
0.000322470827048701,13,"GP","PSX","health care"
0.0209845401890985,14,"Linear","PSX","health care"
0.000419611448456469,14,"GP","PSX","health care"
0.0247405942595379,15,"Linear","PSX","health care"
0.000320669776537513,15,"GP","PSX","health care"
0.0232885235643696,16,"Linear","PSX","health care"
0.000398490315112254,16,"GP","PSX","health care"
0.0267806958986584,17,"Linear","PSX","health care"
0.000902495141381411,17,"GP","PSX","health care"
0.0216972818839111,18,"Linear","PSX","health care"
9.61784336841855e-07,18,"GP","PSX","health care"
0.0256345634495774,19,"Linear","PSX","health care"
0.000359649320773365,19,"GP","PSX","health care"
0.0187648868158004,20,"Linear","PSX","health care"
0.000486196715687566,20,"GP","PSX","health care"
0.0246517720267913,21,"Linear","PSX","health care"
5.32333893276155e-05,21,"GP","PSX","health care"
0.0245202676889958,22,"Linear","PSX","health care"
2.47466967874685e-05,22,"GP","PSX","health care"
