"X1","X2","value"
1,1,47.4241092154133
2,1,53.7006423576161
3,1,47.4241070031779
4,1,42.9183283731655
5,1,42.4953288394074
6,1,41.8007287199096
7,1,34.2702033074144
8,1,23.7800688432189
1,2,53.7006423534631
2,2,67.9775693804579
3,2,53.6999523733196
4,2,43.4435568873812
5,2,42.4921084114511
6,2,42.1845118103298
7,2,38.8812669222243
8,2,34.2701941529106
1,3,47.4241002488003
2,3,53.6999332920053
3,3,47.3820753913696
4,3,42.4238785176908
5,3,41.3816125143589
6,3,41.9793956547546
7,3,42.15056590777
8,3,41.800042687
1,4,42.9162296750407
2,4,43.4375546270292
3,4,42.4185970156814
4,4,36.7140192788519
5,4,29.2621510999388
6,4,36.679651348778
7,4,42.0004460161783
8,4,42.4803959659605
1,5,42.3767940967853
2,5,42.1306777538438
3,5,41.0600345249749
4,5,29.164190027564
5,5,12.3798417360752
6,5,29.2615752844795
7,5,41.3751546755728
8,5,42.4814917112208
1,6,40.9697917640602
2,6,38.1787755395792
3,6,38.2157577559078
4,6,35.5256061802383
5,6,29.1720078041867
6,6,36.678634218398
7,6,42.00548981379
8,6,42.4918792472384
1,7,39.0193132867959
2,7,32.6883805816146
3,7,33.8375955523227
4,7,39.3794611846859
5,7,41.1711534867056
6,7,42.0022046934762
7,7,42.4579725561988
8,7,42.4993099934798
1,8,40.9697956953267
2,8,38.186835332357
3,8,38.7095515511271
4,8,41.3374031365953
5,8,42.3918364324703
6,8,42.4904330283981
7,8,42.4993054259839
8,8,42.4999886660745
