"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"1",1,0.0807186913381604,"train",NA,NA,NA,NA,"MS","financials"
"2",2,0.0796460176991151,"train",NA,NA,NA,NA,"MS","financials"
"3",3,0.0890319120407616,"train",NA,NA,NA,NA,"MS","financials"
"4",4,0.0890319120407616,"train",NA,NA,NA,NA,"MS","financials"
"5",5,0.0943952802359882,"train",NA,NA,NA,NA,"MS","financials"
"6",6,0.0954679538750336,"train",NA,NA,NA,NA,"MS","financials"
"7",7,0.107535532314293,"train",NA,NA,NA,NA,"MS","financials"
"8",8,0.0834003754357737,"train",NA,NA,NA,NA,"MS","financials"
"9",9,0.0675784392598552,"train",NA,NA,NA,NA,"MS","financials"
"10",10,0.0876910699919549,"train",NA,NA,NA,NA,"MS","financials"
"11",11,0.0461249664789488,"train",NA,NA,NA,NA,"MS","financials"
"12",12,0.0571198712791634,"train",NA,NA,NA,NA,"MS","financials"
"13",13,0.0694556181281845,"train",NA,NA,NA,NA,"MS","financials"
"14",14,0.060069723786538,"train",NA,NA,NA,NA,"MS","financials"
"15",15,0.056851702869402,"train",NA,NA,NA,NA,"MS","financials"
"16",16,0.0614105658353447,"train",NA,NA,NA,NA,"MS","financials"
"17",17,0.0651649235720032,"train",NA,NA,NA,NA,"MS","financials"
"18",18,0.0697237865379459,"train",NA,NA,NA,NA,"MS","financials"
"19",19,0.0780370072405471,"train",NA,NA,NA,NA,"MS","financials"
"20",20,0.0729418074550818,"train",NA,NA,NA,NA,"MS","financials"
"21",21,0.0748189863234112,"train",NA,NA,NA,NA,"MS","financials"
"22",22,0.063287744703674,"train",NA,NA,NA,NA,"MS","financials"
"23",23,0.0662375972110486,"train",NA,NA,NA,NA,"MS","financials"
"24",24,0.0667739340305712,"train",NA,NA,NA,NA,"MS","financials"
"25",25,0.0879592384017163,"train",NA,NA,NA,NA,"MS","financials"
"26",26,0.0718691338160364,"train",NA,NA,NA,NA,"MS","financials"
"27",27,0.0557790292303567,"train",NA,NA,NA,NA,"MS","financials"
"28",28,0.0651649235720032,"train",NA,NA,NA,NA,"MS","financials"
"29",29,0.0469294717082328,"train",NA,NA,NA,NA,"MS","financials"
"30",30,0.0501474926253688,"train",NA,NA,NA,NA,"MS","financials"
"31",31,0.0445159560203808,"train",NA,NA,NA,NA,"MS","financials"
"32",32,0.0512201662644141,"train",NA,NA,NA,NA,"MS","financials"
"33",33,0.0530973451327434,"train",NA,NA,NA,NA,"MS","financials"
"34",34,0.0447841244301422,"train",NA,NA,NA,NA,"MS","financials"
"35",35,0.0362027353177796,"train",NA,NA,NA,NA,"MS","financials"
"36",36,0.0372754089568249,"train",NA,NA,NA,NA,"MS","financials"
"37",37,0.0214534727809064,"train",NA,NA,NA,NA,"MS","financials"
"38",38,0.0273531777956557,"train",NA,NA,NA,NA,"MS","financials"
"39",39,0.0335210512201663,"train",NA,NA,NA,NA,"MS","financials"
"40",40,0.0383480825958702,"train",NA,NA,NA,NA,"MS","financials"
"41",41,0.0383480825958702,"train",NA,NA,NA,NA,"MS","financials"
"42",42,0.0512201662644141,"train",NA,NA,NA,NA,"MS","financials"
"43",43,0.0525610083132207,"train",NA,NA,NA,NA,"MS","financials"
"44",44,0.0404934298739609,"train",NA,NA,NA,NA,"MS","financials"
"45",45,0.0313757039420757,"train",NA,NA,NA,NA,"MS","financials"
"46",46,0.0412979351032449,"train",NA,NA,NA,NA,"MS","financials"
"47",47,0.0311075355323143,"train",NA,NA,NA,NA,"MS","financials"
"48",48,0,"train",NA,NA,NA,NA,"MS","financials"
"49",49,0.0072405470635559,"train",NA,NA,NA,NA,"MS","financials"
"50",50,0.0107267363904533,"train",NA,NA,NA,NA,"MS","financials"
"51",51,0.0348618932689729,"train",NA,NA,NA,NA,"MS","financials"
"52",52,0.0305711987127916,"train",NA,NA,NA,NA,"MS","financials"
"53",53,0.030034861893269,"train",NA,NA,NA,NA,"MS","financials"
"54",54,0.029230356663985,"train",NA,NA,NA,NA,"MS","financials"
"55",55,0.0509519978546528,"train",NA,NA,NA,NA,"MS","financials"
"56",56,0.0493429873960847,"train",NA,NA,NA,NA,"MS","financials"
"57",57,0.0412979351032449,"train",NA,NA,NA,NA,"MS","financials"
"58",58,0.0530973451327434,"train",NA,NA,NA,NA,"MS","financials"
"59",59,0.0657012603915259,"train",NA,NA,NA,NA,"MS","financials"
"60",60,0.0796460176991151,"train",NA,NA,NA,NA,"MS","financials"
"61",61,0.0793778492893537,"train",NA,NA,NA,NA,"MS","financials"
"62",62,0.090104585679807,"train",NA,NA,NA,NA,"MS","financials"
"63",63,0.0831322070260124,"train",NA,NA,NA,NA,"MS","financials"
