"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"1",1,0.0010395187539408,"train",NA,NA,NA,NA,"NVDA","information tech"
"2",2,0.00163596394062814,"train",NA,NA,NA,NA,"NVDA","information tech"
"3",3,0.00129513811966395,"train",NA,NA,NA,NA,"NVDA","information tech"
"4",4,0.0010395187539408,"train",NA,NA,NA,NA,"NVDA","information tech"
"5",5,0.00257323494827969,"train",NA,NA,NA,NA,"NVDA","information tech"
"6",6,0.00257749527104174,"train",NA,NA,NA,NA,"NVDA","information tech"
"7",7,0.0018276784649205,"train",NA,NA,NA,NA,"NVDA","information tech"
"8",8,0.00108212198156133,"train",NA,NA,NA,NA,"NVDA","information tech"
"9",9,0.000698692932976601,"train",NA,NA,NA,NA,"NVDA","information tech"
"10",10,0.00167856716824867,"train",NA,NA,NA,NA,"NVDA","information tech"
"11",11,0.000741296160597132,"train",NA,NA,NA,NA,"NVDA","information tech"
"12",12,0.0010395187539408,"train",NA,NA,NA,NA,"NVDA","information tech"
"13",13,0.00201939298921286,"train",NA,NA,NA,NA,"NVDA","information tech"
"14",14,0.00227501235493601,"train",NA,NA,NA,NA,"NVDA","information tech"
"15",15,0.00248802849303864,"train",NA,NA,NA,NA,"NVDA","information tech"
"16",16,0.00225371074112575,"train",NA,NA,NA,NA,"NVDA","information tech"
"17",17,0.00287145754162336,"train",NA,NA,NA,NA,"NVDA","information tech"
"18",18,0.00282885431400283,"train",NA,NA,NA,NA,"NVDA","information tech"
"19",19,0.00270104463114126,"train",NA,NA,NA,NA,"NVDA","information tech"
"20",20,0.00295666399686441,"train",NA,NA,NA,NA,"NVDA","information tech"
"21",21,0.00242412365160785,"train",NA,NA,NA,NA,"NVDA","information tech"
"22",22,0.00261583817590021,"train",NA,NA,NA,NA,"NVDA","information tech"
"23",23,0.00261583817590021,"train",NA,NA,NA,NA,"NVDA","information tech"
"24",24,0.00265844140352073,"train",NA,NA,NA,NA,"NVDA","information tech"
"25",25,0.00218980589969497,"train",NA,NA,NA,NA,"NVDA","information tech"
"26",26,0.00180637685111025,"train",NA,NA,NA,NA,"NVDA","information tech"
"27",27,0.00146555103014605,"train",NA,NA,NA,NA,"NVDA","information tech"
"28",28,0.00210459944445391,"train",NA,NA,NA,NA,"NVDA","information tech"
"29",29,0.00125253489204342,"train",NA,NA,NA,NA,"NVDA","information tech"
"30",30,0.00150815425776657,"train",NA,NA,NA,NA,"NVDA","information tech"
"31",31,0.0012099316644229,"train",NA,NA,NA,NA,"NVDA","information tech"
"32",32,0.00159336071300762,"train",NA,NA,NA,NA,"NVDA","information tech"
"33",33,0.00223240912731549,"train",NA,NA,NA,NA,"NVDA","information tech"
"34",34,0.00299926722448493,"train",NA,NA,NA,NA,"NVDA","information tech"
"35",35,0.0012099316644229,"train",NA,NA,NA,NA,"NVDA","information tech"
"36",36,0.000634788091545819,"train",NA,NA,NA,NA,"NVDA","information tech"
"37",37,0,"train",NA,NA,NA,NA,"NVDA","information tech"
"38",38,0.000506978408684241,"train",NA,NA,NA,NA,"NVDA","information tech"
"39",39,0.00142294780252553,"train",NA,NA,NA,NA,"NVDA","information tech"
"40",40,0.00129513811966395,"train",NA,NA,NA,NA,"NVDA","information tech"
"41",41,0.00214720267207444,"train",NA,NA,NA,NA,"NVDA","information tech"
"42",42,0.00299926722448493,"train",NA,NA,NA,NA,"NVDA","information tech"
"43",43,0.00274364785876178,"train",NA,NA,NA,NA,"NVDA","information tech"
"44",44,0.00410695114261857,"train",NA,NA,NA,NA,"NVDA","information tech"
"45",45,0.00295666399686441,"train",NA,NA,NA,NA,"NVDA","information tech"
"46",46,0.00355310918355175,"train",NA,NA,NA,NA,"NVDA","information tech"
"47",47,0.00280755270019257,"train",NA,NA,NA,NA,"NVDA","information tech"
"48",48,0.00176377362348971,"train",NA,NA,NA,NA,"NVDA","information tech"
"49",49,0.00189158330635129,"train",NA,NA,NA,NA,"NVDA","information tech"
"50",50,0.00197678976159234,"train",NA,NA,NA,NA,"NVDA","information tech"
"51",51,0.00338269627306965,"train",NA,NA,NA,NA,"NVDA","information tech"
"52",52,0.00525723828837273,"train",NA,NA,NA,NA,"NVDA","information tech"
"53",53,0.0057258737921985,"train",NA,NA,NA,NA,"NVDA","information tech"
"54",54,0.00547025442647535,"train",NA,NA,NA,NA,"NVDA","information tech"
"55",55,0.00615190606840375,"train",NA,NA,NA,NA,"NVDA","information tech"
"56",56,0.00700397062081423,"train",NA,NA,NA,NA,"NVDA","information tech"
"57",57,0.00649273188936794,"train",NA,NA,NA,NA,"NVDA","information tech"
"58",58,0.00717438353129634,"train",NA,NA,NA,NA,"NVDA","information tech"
"59",59,0.00743000289701948,"train",NA,NA,NA,NA,"NVDA","information tech"
"60",60,0.00725958998653738,"train",NA,NA,NA,NA,"NVDA","information tech"
"61",61,0.00649273188936794,"train",NA,NA,NA,NA,"NVDA","information tech"
"62",62,0.007553552257119,"train",NA,NA,NA,NA,"NVDA","information tech"
"63",63,0.00760041580750158,"train",NA,NA,NA,NA,"NVDA","information tech"
"64",64,0.0102844191475946,"train",NA,NA,NA,NA,"NVDA","information tech"
"65",65,0.00900632231897889,"train",NA,NA,NA,NA,"NVDA","information tech"
"66",66,0.0099009900990099,"train",NA,NA,NA,NA,"NVDA","information tech"
"67",67,0.0109447691757128,"train",NA,NA,NA,NA,"NVDA","information tech"
"68",68,0.0106678481961793,"train",NA,NA,NA,NA,"NVDA","information tech"
"69",69,0.0116903256590719,"train",NA,NA,NA,NA,"NVDA","information tech"
"70",70,0.0115625159762104,"train",NA,NA,NA,NA,"NVDA","information tech"
"71",71,0.0119033417971746,"train",NA,NA,NA,NA,"NVDA","information tech"
"72",72,0.00968797396090728,"train",NA,NA,NA,NA,"NVDA","information tech"
"73",73,0.0106678481961793,"train",NA,NA,NA,NA,"NVDA","information tech"
