"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"1",1,0.0882104778706758,"train",NA,NA,NA,NA,"PSA","real estate"
"2",2,0.0839917158855564,"train",NA,NA,NA,NA,"PSA","real estate"
"3",3,0.086139449259799,"train",NA,NA,NA,NA,"PSA","real estate"
"4",4,0.0780854491063896,"train",NA,NA,NA,NA,"PSA","real estate"
"5",5,0.063664953593618,"train",NA,NA,NA,NA,"PSA","real estate"
"6",6,0.0411137531640714,"train",NA,NA,NA,NA,"PSA","real estate"
"7",7,0.052312648615479,"train",NA,NA,NA,NA,"PSA","real estate"
"8",8,0.0503183247679681,"train",NA,NA,NA,NA,"PSA","real estate"
"9",9,0.0468666104165068,"train",NA,NA,NA,NA,"PSA","real estate"
"10",10,0.049934800951139,"train",NA,NA,NA,NA,"PSA","real estate"
"11",11,0.0312955434532483,"train",NA,NA,NA,NA,"PSA","real estate"
"12",12,0.0401932960036817,"train",NA,NA,NA,NA,"PSA","real estate"
"13",13,0.0455626294392882,"train",NA,NA,NA,NA,"PSA","real estate"
"14",14,0.0407302293472425,"train",NA,NA,NA,NA,"PSA","real estate"
"15",15,0.0464063818363119,"train",NA,NA,NA,NA,"PSA","real estate"
"16",16,0.0525427629055764,"train",NA,NA,NA,NA,"PSA","real estate"
"17",17,0.0619774487995703,"train",NA,NA,NA,NA,"PSA","real estate"
"18",18,0.0513154866917235,"train",NA,NA,NA,NA,"PSA","real estate"
"19",19,0.0349773720948071,"train",NA,NA,NA,NA,"PSA","real estate"
"20",20,0.0350540768581728,"train",NA,NA,NA,NA,"PSA","real estate"
"21",21,0.0230881337731072,"train",NA,NA,NA,NA,"PSA","real estate"
"22",22,0.00843752397023851,"train",NA,NA,NA,NA,"PSA","real estate"
"23",23,0.0059829715425328,"train",NA,NA,NA,NA,"PSA","real estate"
"24",24,0.0103551430543836,"train",NA,NA,NA,NA,"PSA","real estate"
"25",25,0.0180256193909641,"train",NA,NA,NA,NA,"PSA","real estate"
"26",26,0.0190994860780853,"train",NA,NA,NA,NA,"PSA","real estate"
"27",27,0.0302983815294929,"train",NA,NA,NA,NA,"PSA","real estate"
"28",28,0.0398097721868528,"train",NA,NA,NA,NA,"PSA","real estate"
"29",29,0.0373552197591471,"train",NA,NA,NA,NA,"PSA","real estate"
"30",30,0.0368949911789522,"train",NA,NA,NA,NA,"PSA","real estate"
"31",31,0.0333665720641251,"train",NA,NA,NA,NA,"PSA","real estate"
"32",32,0.0425711436680217,"train",NA,NA,NA,NA,"PSA","real estate"
"33",33,0.0406535245838765,"train",NA,NA,NA,NA,"PSA","real estate"
"34",34,0.0492444580808467,"train",NA,NA,NA,NA,"PSA","real estate"
"35",35,0.0497813914244073,"train",NA,NA,NA,NA,"PSA","real estate"
"36",36,0.053846743882795,"train",NA,NA,NA,NA,"PSA","real estate"
"37",37,0.0484774104471887,"train",NA,NA,NA,NA,"PSA","real estate"
"38",38,0.0650456393342026,"train",NA,NA,NA,NA,"PSA","real estate"
"39",39,0.0705683822965405,"train",NA,NA,NA,NA,"PSA","real estate"
"40",40,0.0830712587251667,"train",NA,NA,NA,NA,"PSA","real estate"
"41",41,0.0862928587865307,"train",NA,NA,NA,NA,"PSA","real estate"
"42",42,0.0858326302063358,"train",NA,NA,NA,NA,"PSA","real estate"
"43",43,0.0971082304211091,"train",NA,NA,NA,NA,"PSA","real estate"
"44",44,0.09672470660428,"train",NA,NA,NA,NA,"PSA","real estate"
"45",45,0.0701848584797116,"train",NA,NA,NA,NA,"PSA","real estate"
"46",46,0.0796962491370713,"train",NA,NA,NA,NA,"PSA","real estate"
"47",47,0.0796962491370713,"train",NA,NA,NA,NA,"PSA","real estate"
"48",48,0.081383753931119,"train",NA,NA,NA,NA,"PSA","real estate"
"49",49,0.0989491447418885,"train",NA,NA,NA,NA,"PSA","real estate"
"50",50,0.0904349160082841,"train",NA,NA,NA,NA,"PSA","real estate"
"51",51,0.0977985732914014,"train",NA,NA,NA,NA,"PSA","real estate"
"52",52,0.103704840070568,"train",NA,NA,NA,NA,"PSA","real estate"
"53",53,0.101250287642863,"train",NA,NA,NA,NA,"PSA","real estate"
"54",54,0.107923602055688,"train",NA,NA,NA,NA,"PSA","real estate"
"55",55,0.12341796425558,"train",NA,NA,NA,NA,"PSA","real estate"
"56",56,0.146506098028688,"train",NA,NA,NA,NA,"PSA","real estate"
"57",57,0.14573905039503,"train",NA,NA,NA,NA,"PSA","real estate"
"58",58,0.153256117204878,"train",NA,NA,NA,NA,"PSA","real estate"
"59",59,0.157858403006827,"train",NA,NA,NA,NA,"PSA","real estate"
"60",60,0.160006136381069,"train",NA,NA,NA,NA,"PSA","real estate"
"61",61,0.161003298304825,"train",NA,NA,NA,NA,"PSA","real estate"
"62",62,0.150571450487075,"train",NA,NA,NA,NA,"PSA","real estate"
"63",63,0.143591317020787,"train",NA,NA,NA,NA,"PSA","real estate"
"64",64,0.140906650302984,"train",NA,NA,NA,NA,"PSA","real estate"
"65",65,0.149190764746491,"train",NA,NA,NA,NA,"PSA","real estate"
"66",66,0.143744726547518,"train",NA,NA,NA,NA,"PSA","real estate"
"67",67,0.163151031679067,"train",NA,NA,NA,NA,"PSA","real estate"
"68",68,0.148040193296004,"train",NA,NA,NA,NA,"PSA","real estate"
"69",69,0.16529876505331,"train",NA,NA,NA,NA,"PSA","real estate"
"70",70,0.161310117358288,"train",NA,NA,NA,NA,"PSA","real estate"
"71",71,0.167369793664187,"train",NA,NA,NA,NA,"PSA","real estate"
"72",72,0.131088440592161,"train",NA,NA,NA,NA,"PSA","real estate"
"73",73,0.10861394492598,"train",NA,NA,NA,NA,"PSA","real estate"
"74",74,0.128020250057529,"train",NA,NA,NA,NA,"PSA","real estate"
"75",75,0.114443506941781,"train",NA,NA,NA,NA,"PSA","real estate"
"76",76,0.0872133159469204,"train",NA,NA,NA,NA,"PSA","real estate"
"77",77,0.0620541535629363,"train",NA,NA,NA,NA,"PSA","real estate"
"78",78,0.045255810385825,"train",NA,NA,NA,NA,"PSA","real estate"
"79",79,0.0735598680678071,"train",NA,NA,NA,NA,"PSA","real estate"
"80",80,0.0432614865383139,"train",NA,NA,NA,NA,"PSA","real estate"
"81",81,0.0382756769195366,"train",NA,NA,NA,NA,"PSA","real estate"
"82",82,0.0614405154560098,"train",NA,NA,NA,NA,"PSA","real estate"
"83",83,0.0604433535322543,"train",NA,NA,NA,NA,"PSA","real estate"
"84",84,0.0349773720948071,"train",NA,NA,NA,NA,"PSA","real estate"
"85",85,0.0237017718800338,"train",NA,NA,NA,NA,"PSA","real estate"
"86",86,0.0138835621692107,"train",NA,NA,NA,NA,"PSA","real estate"
"87",87,0.0494745723709442,"train",NA,NA,NA,NA,"PSA","real estate"
"88",88,0.045255810385825,"train",NA,NA,NA,NA,"PSA","real estate"
"89",89,0.0570683439441589,"train",NA,NA,NA,NA,"PSA","real estate"
"90",90,0.0498580961877733,"train",NA,NA,NA,NA,"PSA","real estate"
"91",91,0.0253125719107155,"train",NA,NA,NA,NA,"PSA","real estate"
"92",92,0,"train",NA,NA,NA,NA,"PSA","real estate"
"93",93,0.0293779243691032,"train",NA,NA,NA,NA,"PSA","real estate"
"94",94,0.0253125719107155,"train",NA,NA,NA,NA,"PSA","real estate"
"95",95,0.0375853340492445,"train",NA,NA,NA,NA,"PSA","real estate"
"96",96,0.0433381913016799,"train",NA,NA,NA,NA,"PSA","real estate"
"97",97,0.06289790595996,"train",NA,NA,NA,NA,"PSA","real estate"
"98",98,0.0569916391807932,"train",NA,NA,NA,NA,"PSA","real estate"
"99",99,0.0450256960957276,"train",NA,NA,NA,NA,"PSA","real estate"
"100",100,0.0673467822351768,"train",NA,NA,NA,NA,"PSA","real estate"
"101",101,0.0564547058372324,"train",NA,NA,NA,NA,"PSA","real estate"
"102",102,0.0534632200659661,"train",NA,NA,NA,NA,"PSA","real estate"
"103",103,0.0533865153026004,"train",NA,NA,NA,NA,"PSA","real estate"
"104",104,0.0716422489836619,"train",NA,NA,NA,NA,"PSA","real estate"
"105",105,0.0717956585103934,"train",NA,NA,NA,NA,"PSA","real estate"
"106",106,0.103321316253739,"train",NA,NA,NA,NA,"PSA","real estate"
